ID,Difficulty,Level,FilePath
11375,4,12.9,./serialized_data/11375_4.json
291,1,3.0,./serialized_data/291_1.json
291,2,6.6,./serialized_data/291_2.json
291,3,9.4,./serialized_data/291_3.json
291,4,12.0,./serialized_data/291_4.json
599,1,5.0,./serialized_data/599_1.json
599,2,7.2,./serialized_data/599_2.json
599,3,9.9,./serialized_data/599_3.json
599,4,12.0,./serialized_data/599_4.json
11677,1,6.0,./serialized_data/11677_1.json
11677,2,8.8,./serialized_data/11677_2.json
11677,3,12.8,./serialized_data/11677_3.json
11677,4,14.5,./serialized_data/11677_4.json
11337,1,2.0,./serialized_data/11337_1.json
11337,2,6.0,./serialized_data/11337_2.json
11337,3,8.7,./serialized_data/11337_3.json
11337,4,12.7,./serialized_data/11337_4.json
11405,1,6.0,./serialized_data/11405_1.json
11405,2,7.8,./serialized_data/11405_2.json
11405,3,12.4,./serialized_data/11405_3.json
11405,4,14.1,./serialized_data/11405_4.json
743,1,6.0,./serialized_data/743_1.json
743,2,8.0,./serialized_data/743_2.json
743,3,10.5,./serialized_data/743_3.json
743,4,11.7,./serialized_data/743_4.json
743,5,13.3,./serialized_data/743_5.json
11701,1,3.0,./serialized_data/11701_1.json
11701,2,7.2,./serialized_data/11701_2.json
11701,3,10.5,./serialized_data/11701_3.json
11701,4,13.0,./serialized_data/11701_4.json
260,1,5.0,./serialized_data/260_1.json
260,2,7.5,./serialized_data/260_2.json
260,3,12.3,./serialized_data/260_3.json
260,4,13.2,./serialized_data/260_4.json
260,5,13.7,./serialized_data/260_5.json
112,1,6.0,./serialized_data/112_1.json
112,2,9.0,./serialized_data/112_2.json
112,3,11.4,./serialized_data/112_3.json
112,4,14.0,./serialized_data/112_4.json
11570,1,4.0,./serialized_data/11570_1.json
11570,2,6.5,./serialized_data/11570_2.json
11570,3,9.0,./serialized_data/11570_3.json
11570,4,13.0,./serialized_data/11570_4.json
11695,1,3.0,./serialized_data/11695_1.json
11695,2,6.5,./serialized_data/11695_2.json
11695,3,9.8,./serialized_data/11695_3.json
11695,4,12.8,./serialized_data/11695_4.json
11773,1,2.0,./serialized_data/11773_1.json
11773,2,6.5,./serialized_data/11773_2.json
11773,3,9.8,./serialized_data/11773_3.json
11773,4,13.1,./serialized_data/11773_4.json
10128,1,3.0,./serialized_data/10128_1.json
10128,2,6.8,./serialized_data/10128_2.json
10128,3,10.7,./serialized_data/10128_3.json
10128,4,12.9,./serialized_data/10128_4.json
11166,1,4.0,./serialized_data/11166_1.json
11166,2,7.8,./serialized_data/11166_2.json
11166,3,10.7,./serialized_data/11166_3.json
11166,4,14.1,./serialized_data/11166_4.json
11075,1,6.0,./serialized_data/11075_1.json
11075,2,8.5,./serialized_data/11075_2.json
11075,3,11.8,./serialized_data/11075_3.json
11075,4,13.8,./serialized_data/11075_4.json
242,1,5.0,./serialized_data/242_1.json
242,2,7.8,./serialized_data/242_2.json
242,3,10.8,./serialized_data/242_3.json
242,4,12.5,./serialized_data/242_4.json
63,1,7.0,./serialized_data/63_1.json
63,2,7.8,./serialized_data/63_2.json
63,3,9.4,./serialized_data/63_3.json
63,4,11.7,./serialized_data/63_4.json
11676,1,5.0,./serialized_data/11676_1.json
11676,2,7.7,./serialized_data/11676_2.json
11676,3,11.2,./serialized_data/11676_3.json
11676,4,13.8,./serialized_data/11676_4.json
11024,1,5.0,./serialized_data/11024_1.json
11024,2,7.0,./serialized_data/11024_2.json
11024,3,10.2,./serialized_data/11024_3.json
11024,4,12.0,./serialized_data/11024_4.json
11713,1,6.0,./serialized_data/11713_1.json
11713,2,8.8,./serialized_data/11713_2.json
11713,3,13.0,./serialized_data/11713_3.json
11713,4,14.5,./serialized_data/11713_4.json
11621,1,3.0,./serialized_data/11621_1.json
11621,2,7.8,./serialized_data/11621_2.json
11621,3,11.5,./serialized_data/11621_3.json
11621,4,13.7,./serialized_data/11621_4.json
11742,1,5.0,./serialized_data/11742_1.json
11742,2,8.0,./serialized_data/11742_2.json
11742,3,10.8,./serialized_data/11742_3.json
11742,4,13.4,./serialized_data/11742_4.json
11774,1,3.0,./serialized_data/11774_1.json
11774,2,6.5,./serialized_data/11774_2.json
11774,3,10.0,./serialized_data/11774_3.json
11774,4,13.0,./serialized_data/11774_4.json
11189,1,2.0,./serialized_data/11189_1.json
11189,2,7.0,./serialized_data/11189_2.json
11189,3,9.9,./serialized_data/11189_3.json
11189,4,13.0,./serialized_data/11189_4.json
11704,1,3.0,./serialized_data/11704_1.json
11704,2,6.2,./serialized_data/11704_2.json
11704,3,9.7,./serialized_data/11704_3.json
11704,4,13.6,./serialized_data/11704_4.json
281,1,5.0,./serialized_data/281_1.json
281,2,6.6,./serialized_data/281_2.json
281,3,10.9,./serialized_data/281_3.json
281,4,13.2,./serialized_data/281_4.json
11787,1,3.0,./serialized_data/11787_1.json
11787,2,6.7,./serialized_data/11787_2.json
11787,3,10.8,./serialized_data/11787_3.json
11787,4,13.7,./serialized_data/11787_4.json
107,1,5.0,./serialized_data/107_1.json
107,2,8.6,./serialized_data/107_2.json
107,3,11.1,./serialized_data/107_3.json
107,4,12.7,./serialized_data/107_4.json
107,5,13.3,./serialized_data/107_5.json
10190,1,3.0,./serialized_data/10190_1.json
10190,2,6.5,./serialized_data/10190_2.json
10190,3,10.2,./serialized_data/10190_3.json
10190,4,13.1,./serialized_data/10190_4.json
11248,1,5.0,./serialized_data/11248_1.json
11248,2,9.5,./serialized_data/11248_2.json
11248,3,12.9,./serialized_data/11248_3.json
11248,4,14.3,./serialized_data/11248_4.json
418,1,6.0,./serialized_data/418_1.json
418,2,8.0,./serialized_data/418_2.json
418,3,9.9,./serialized_data/418_3.json
418,4,12.9,./serialized_data/418_4.json
11552,1,4.0,./serialized_data/11552_1.json
11552,2,7.8,./serialized_data/11552_2.json
11552,3,10.7,./serialized_data/11552_3.json
11552,4,13.3,./serialized_data/11552_4.json
718,1,4.0,./serialized_data/718_1.json
718,2,6.4,./serialized_data/718_2.json
718,3,9.0,./serialized_data/718_3.json
718,4,11.7,./serialized_data/718_4.json
11299,1,6.0,./serialized_data/11299_1.json
11299,2,8.5,./serialized_data/11299_2.json
11299,3,12.0,./serialized_data/11299_3.json
11299,4,14.1,./serialized_data/11299_4.json
11316,1,3.0,./serialized_data/11316_1.json
11316,2,6.8,./serialized_data/11316_2.json
11316,3,10.0,./serialized_data/11316_3.json
11316,4,13.5,./serialized_data/11316_4.json
11665,1,3.0,./serialized_data/11665_1.json
11665,2,6.5,./serialized_data/11665_2.json
11665,3,10.0,./serialized_data/11665_3.json
11665,4,13.0,./serialized_data/11665_4.json
11077,1,4.0,./serialized_data/11077_1.json
11077,2,7.0,./serialized_data/11077_2.json
11077,3,9.7,./serialized_data/11077_3.json
11077,4,12.7,./serialized_data/11077_4.json
11744,1,5.0,./serialized_data/11744_1.json
11744,2,7.8,./serialized_data/11744_2.json
11744,3,12.0,./serialized_data/11744_3.json
11744,4,14.4,./serialized_data/11744_4.json
11072,1,3.0,./serialized_data/11072_1.json
11072,2,6.5,./serialized_data/11072_2.json
11072,3,9.5,./serialized_data/11072_3.json
11072,4,11.8,./serialized_data/11072_4.json
679,1,4.0,./serialized_data/679_1.json
679,2,8.2,./serialized_data/679_2.json
679,3,11.3,./serialized_data/679_3.json
679,4,12.6,./serialized_data/679_4.json
11182,1,3.0,./serialized_data/11182_1.json
11182,2,6.2,./serialized_data/11182_2.json
11182,3,9.5,./serialized_data/11182_3.json
11182,4,12.0,./serialized_data/11182_4.json
293,1,5.0,./serialized_data/293_1.json
293,2,7.6,./serialized_data/293_2.json
293,3,10.8,./serialized_data/293_3.json
293,4,12.5,./serialized_data/293_4.json
169,1,4.0,./serialized_data/169_1.json
169,2,6.3,./serialized_data/169_2.json
169,3,8.1,./serialized_data/169_3.json
169,4,10.0,./serialized_data/169_4.json
10315,1,2,./serialized_data/10315_1.json
10315,2,6,./serialized_data/10315_2.json
10315,3,9,./serialized_data/10315_3.json
10315,4,13,./serialized_data/10315_4.json
11841,1,3.0,./serialized_data/11841_1.json
11841,2,6.8,./serialized_data/11841_2.json
11841,3,10.5,./serialized_data/11841_3.json
11841,4,13.3,./serialized_data/11841_4.json
76,1,4.0,./serialized_data/76_1.json
76,2,7.0,./serialized_data/76_2.json
76,3,10.0,./serialized_data/76_3.json
76,4,12.5,./serialized_data/76_4.json
11568,1,4,./serialized_data/11568_1.json
11568,2,7,./serialized_data/11568_2.json
11568,3,10.8,./serialized_data/11568_3.json
11568,4,13,./serialized_data/11568_4.json
11257,1,3.0,./serialized_data/11257_1.json
11257,2,6.5,./serialized_data/11257_2.json
11257,3,8.5,./serialized_data/11257_3.json
11257,4,12.7,./serialized_data/11257_4.json
11325,1,2.0,./serialized_data/11325_1.json
11325,2,7.2,./serialized_data/11325_2.json
11325,3,9.8,./serialized_data/11325_3.json
11325,4,11.8,./serialized_data/11325_4.json
11325,5,12.8,./serialized_data/11325_5.json
81,1,5.0,./serialized_data/81_1.json
81,2,7.4,./serialized_data/81_2.json
81,3,11.7,./serialized_data/81_3.json
81,4,12.4,./serialized_data/81_4.json
81,5,13.2,./serialized_data/81_5.json
198,1,5.0,./serialized_data/198_1.json
198,2,7.0,./serialized_data/198_2.json
198,3,11.7,./serialized_data/198_3.json
198,4,13.2,./serialized_data/198_4.json
198,5,14.1,./serialized_data/198_5.json
365,1,6.0,./serialized_data/365_1.json
365,2,8.8,./serialized_data/365_2.json
365,3,13.3,./serialized_data/365_3.json
365,4,14.6,./serialized_data/365_4.json
365,5,14.7,./serialized_data/365_5.json
71,1,6.0,./serialized_data/71_1.json
71,2,8.6,./serialized_data/71_2.json
71,3,9.7,./serialized_data/71_3.json
71,4,11.7,./serialized_data/71_4.json
71,5,13.3,./serialized_data/71_5.json
11036,1,2.0,./serialized_data/11036_1.json
11036,2,6.2,./serialized_data/11036_2.json
11036,3,9.2,./serialized_data/11036_3.json
11036,4,11.5,./serialized_data/11036_4.json
11036,5,12.8,./serialized_data/11036_5.json
11140,1,5.0,./serialized_data/11140_1.json
11140,2,8.0,./serialized_data/11140_2.json
11140,3,11.5,./serialized_data/11140_3.json
11140,4,13.8,./serialized_data/11140_4.json
11063,1,3.0,./serialized_data/11063_1.json
11063,2,7.2,./serialized_data/11063_2.json
11063,3,9.2,./serialized_data/11063_3.json
11063,4,11.8,./serialized_data/11063_4.json
205,1,4.0,./serialized_data/205_1.json
205,2,7.9,./serialized_data/205_2.json
205,3,10.6,./serialized_data/205_3.json
205,4,13.2,./serialized_data/205_4.json
10146,1,3,./serialized_data/10146_1.json
10146,2,7,./serialized_data/10146_2.json
10146,3,9,./serialized_data/10146_3.json
10146,4,12+,./serialized_data/10146_4.json
505,1,4.0,./serialized_data/505_1.json
505,2,7.0,./serialized_data/505_2.json
505,3,9.4,./serialized_data/505_3.json
505,4,11.4,./serialized_data/505_4.json
11303,1,5.0,./serialized_data/11303_1.json
11303,2,7.8,./serialized_data/11303_2.json
11303,3,11.8,./serialized_data/11303_3.json
11303,4,14.0,./serialized_data/11303_4.json
512,1,5.0,./serialized_data/512_1.json
512,2,7.6,./serialized_data/512_2.json
512,3,10.8,./serialized_data/512_3.json
512,4,12.7,./serialized_data/512_4.json
11564,1,3.0,./serialized_data/11564_1.json
11564,2,6.8,./serialized_data/11564_2.json
11564,3,10.8,./serialized_data/11564_3.json
11564,4,13.7,./serialized_data/11564_4.json
147,1,5.0,./serialized_data/147_1.json
147,2,7.7,./serialized_data/147_2.json
147,3,11.4,./serialized_data/147_3.json
147,4,12.7,./serialized_data/147_4.json
11314,1,4.0,./serialized_data/11314_1.json
11314,2,8.5,./serialized_data/11314_2.json
11314,3,11.7,./serialized_data/11314_3.json
11314,4,13.9,./serialized_data/11314_4.json
11833,1,2.0,./serialized_data/11833_1.json
11833,2,6.0,./serialized_data/11833_2.json
11833,3,9.0,./serialized_data/11833_3.json
11833,4,13.0,./serialized_data/11833_4.json
46,1,6.0,./serialized_data/46_1.json
46,2,7.6,./serialized_data/46_2.json
46,3,9.3,./serialized_data/46_3.json
46,4,11.7,./serialized_data/46_4.json
712,1,5.0,./serialized_data/712_1.json
712,2,7.0,./serialized_data/712_2.json
712,3,10.8,./serialized_data/712_3.json
712,4,12.7,./serialized_data/712_4.json
443,1,4,./serialized_data/443_1.json
443,2,6,./serialized_data/443_2.json
443,3,9,./serialized_data/443_3.json
443,4,11,./serialized_data/443_4.json
78,1,5.0,./serialized_data/78_1.json
78,2,7.0,./serialized_data/78_2.json
78,3,8.7,./serialized_data/78_3.json
78,4,11.9,./serialized_data/78_4.json
11081,1,3.0,./serialized_data/11081_1.json
11081,2,7.0,./serialized_data/11081_2.json
11081,3,11.0,./serialized_data/11081_3.json
11081,4,12.8,./serialized_data/11081_4.json
366,1,6.0,./serialized_data/366_1.json
366,2,8.4,./serialized_data/366_2.json
366,3,12.0,./serialized_data/366_3.json
366,4,13.7,./serialized_data/366_4.json
810,1,5.0,./serialized_data/810_1.json
810,2,7.0,./serialized_data/810_2.json
810,3,9.5,./serialized_data/810_3.json
810,4,12.5,./serialized_data/810_4.json
11604,1,4.0,./serialized_data/11604_1.json
11604,2,7.8,./serialized_data/11604_2.json
11604,3,10.5,./serialized_data/11604_3.json
11604,4,13.7,./serialized_data/11604_4.json
820,1,7.0,./serialized_data/820_1.json
820,2,9.5,./serialized_data/820_2.json
820,3,12.7,./serialized_data/820_3.json
820,4,14.0,./serialized_data/820_4.json
820,5,14.5,./serialized_data/820_5.json
362,1,4.0,./serialized_data/362_1.json
362,2,8.3,./serialized_data/362_2.json
362,3,10.8,./serialized_data/362_3.json
362,4,12.9,./serialized_data/362_4.json
630,1,5.0,./serialized_data/630_1.json
630,2,8.6,./serialized_data/630_2.json
630,3,11.8,./serialized_data/630_3.json
630,4,13.4,./serialized_data/630_4.json
11062,1,3.0,./serialized_data/11062_1.json
11062,2,7.4,./serialized_data/11062_2.json
11062,3,10.2,./serialized_data/11062_3.json
11062,4,12.6,./serialized_data/11062_4.json
11534,1,4.0,./serialized_data/11534_1.json
11534,2,8.0,./serialized_data/11534_2.json
11534,3,11.5,./serialized_data/11534_3.json
11534,4,14.0,./serialized_data/11534_4.json
515,1,6.0,./serialized_data/515_1.json
515,2,7.9,./serialized_data/515_2.json
515,3,11.0,./serialized_data/515_3.json
515,4,13.4,./serialized_data/515_4.json
73,1,7.0,./serialized_data/73_1.json
73,2,7.8,./serialized_data/73_2.json
73,3,8.8,./serialized_data/73_3.json
73,4,11.7,./serialized_data/73_4.json
11673,1,6.0,./serialized_data/11673_1.json
11673,2,8.0,./serialized_data/11673_2.json
11673,3,12.8,./serialized_data/11673_3.json
11673,4,14.6,./serialized_data/11673_4.json
11369,1,4.0,./serialized_data/11369_1.json
11369,2,7.5,./serialized_data/11369_2.json
11369,3,9.8,./serialized_data/11369_3.json
11369,4,11.8,./serialized_data/11369_4.json
11369,5,13.5,./serialized_data/11369_5.json
111365,1,13.0?,./serialized_data/111365_1.json
111365,2,13.0?,./serialized_data/111365_2.json
567,1,6.0,./serialized_data/567_1.json
567,2,9.3,./serialized_data/567_2.json
567,3,12.9,./serialized_data/567_3.json
567,4,14.3,./serialized_data/567_4.json
11274,1,2.0,./serialized_data/11274_1.json
11274,2,6.8,./serialized_data/11274_2.json
11274,3,9.0,./serialized_data/11274_3.json
11274,4,13.1,./serialized_data/11274_4.json
11748,1,3.0,./serialized_data/11748_1.json
11748,2,6.5,./serialized_data/11748_2.json
11748,3,11.0,./serialized_data/11748_3.json
11748,4,13.2,./serialized_data/11748_4.json
10044,1,3.0,./serialized_data/10044_1.json
10044,2,6.0,./serialized_data/10044_2.json
10044,3,9.5,./serialized_data/10044_3.json
10044,4,12.8,./serialized_data/10044_4.json
11692,1,4.0,./serialized_data/11692_1.json
11692,2,7.8,./serialized_data/11692_2.json
11692,3,10.7,./serialized_data/11692_3.json
11692,4,11.9,./serialized_data/11692_4.json
11692,5,13.8,./serialized_data/11692_5.json
11789,1,6.0,./serialized_data/11789_1.json
11789,2,8.7,./serialized_data/11789_2.json
11789,3,12.4,./serialized_data/11789_3.json
11789,4,14.4,./serialized_data/11789_4.json
133,1,6.0,./serialized_data/133_1.json
133,2,8.6,./serialized_data/133_2.json
133,3,12.9,./serialized_data/133_3.json
133,4,13.7,./serialized_data/133_4.json
133,5,13.9,./serialized_data/133_5.json
338,1,4.0,./serialized_data/338_1.json
338,2,6.8,./serialized_data/338_2.json
338,3,9.3,./serialized_data/338_3.json
338,4,10.9,./serialized_data/338_4.json
437,1,4.0,./serialized_data/437_1.json
437,2,7.6,./serialized_data/437_2.json
437,3,10.4,./serialized_data/437_3.json
437,4,12.6,./serialized_data/437_4.json
10021,1,3.0,./serialized_data/10021_1.json
10021,2,6.8,./serialized_data/10021_2.json
10021,3,8.8,./serialized_data/10021_3.json
10021,4,11.3,./serialized_data/10021_4.json
10021,5,12.8,./serialized_data/10021_5.json
477,1,6.0,./serialized_data/477_1.json
477,2,8.2,./serialized_data/477_2.json
477,3,10.9,./serialized_data/477_3.json
477,4,13.8,./serialized_data/477_4.json
11211,1,3.0,./serialized_data/11211_1.json
11211,2,7.5,./serialized_data/11211_2.json
11211,3,10.0,./serialized_data/11211_3.json
11211,4,13.7,./serialized_data/11211_4.json
323,1,3.0,./serialized_data/323_1.json
323,2,6.9,./serialized_data/323_2.json
323,3,9.7,./serialized_data/323_3.json
323,4,11.7,./serialized_data/323_4.json
11436,1,2.0,./serialized_data/11436_1.json
11436,2,6.5,./serialized_data/11436_2.json
11436,3,10.0,./serialized_data/11436_3.json
11436,4,12.5,./serialized_data/11436_4.json
495,1,6.0,./serialized_data/495_1.json
495,2,9.1,./serialized_data/495_2.json
495,3,13.2,./serialized_data/495_3.json
495,4,13.9,./serialized_data/495_4.json
754,1,4.0,./serialized_data/754_1.json
754,2,6.2,./serialized_data/754_2.json
754,3,9.8,./serialized_data/754_3.json
754,4,12.7,./serialized_data/754_4.json
11300,1,5.0,./serialized_data/11300_1.json
11300,2,9.0,./serialized_data/11300_2.json
11300,3,12.1,./serialized_data/11300_3.json
11300,4,14.3,./serialized_data/11300_4.json
11723,1,4.0,./serialized_data/11723_1.json
11723,2,7.0,./serialized_data/11723_2.json
11723,3,10.5,./serialized_data/11723_3.json
11723,4,13.6,./serialized_data/11723_4.json
11236,1,4.0,./serialized_data/11236_1.json
11236,2,8.0,./serialized_data/11236_2.json
11236,3,12.0,./serialized_data/11236_3.json
11236,4,13.9,./serialized_data/11236_4.json
10668,1,4,./serialized_data/10668_1.json
10668,2,7,./serialized_data/10668_2.json
10668,3,9,./serialized_data/10668_3.json
10668,4,11+,./serialized_data/10668_4.json
475,1,4.0,./serialized_data/475_1.json
475,2,6.8,./serialized_data/475_2.json
475,3,8.8,./serialized_data/475_3.json
475,4,11.8,./serialized_data/475_4.json
475,5,12.7,./serialized_data/475_5.json
847,1,5.0,./serialized_data/847_1.json
847,2,8.0,./serialized_data/847_2.json
847,3,11.4,./serialized_data/847_3.json
847,4,12.6,./serialized_data/847_4.json
11624,1,5.0,./serialized_data/11624_1.json
11624,2,7.8,./serialized_data/11624_2.json
11624,3,12.8,./serialized_data/11624_3.json
11624,4,14.3,./serialized_data/11624_4.json
189,1,4.0,./serialized_data/189_1.json
189,2,7.0,./serialized_data/189_2.json
189,3,10.9,./serialized_data/189_3.json
189,4,12.7,./serialized_data/189_4.json
11126,1,5.0,./serialized_data/11126_1.json
11126,2,7.7,./serialized_data/11126_2.json
11126,3,10.0,./serialized_data/11126_3.json
11126,4,13.2,./serialized_data/11126_4.json
11408,1,3.0,./serialized_data/11408_1.json
11408,2,7.7,./serialized_data/11408_2.json
11408,3,11.7,./serialized_data/11408_3.json
11408,4,13.2,./serialized_data/11408_4.json
11262,1,2.0,./serialized_data/11262_1.json
11262,2,6.5,./serialized_data/11262_2.json
11262,3,9.2,./serialized_data/11262_3.json
11262,4,12.8,./serialized_data/11262_4.json
11550,1,6.0,./serialized_data/11550_1.json
11550,2,8.5,./serialized_data/11550_2.json
11550,3,12.8,./serialized_data/11550_3.json
11550,4,14.4,./serialized_data/11550_4.json
11059,1,3.0,./serialized_data/11059_1.json
11059,2,7.8,./serialized_data/11059_2.json
11059,3,11.3,./serialized_data/11059_3.json
11059,4,13.4,./serialized_data/11059_4.json
11048,1,4.0,./serialized_data/11048_1.json
11048,2,7.0,./serialized_data/11048_2.json
11048,3,10.4,./serialized_data/11048_3.json
11048,4,13.2,./serialized_data/11048_4.json
18,1,6.0,./serialized_data/18_1.json
18,2,6.8,./serialized_data/18_2.json
18,3,9.6,./serialized_data/18_3.json
18,4,11.7,./serialized_data/18_4.json
10251,1,4,./serialized_data/10251_1.json
10251,2,8,./serialized_data/10251_2.json
10251,3,11,./serialized_data/10251_3.json
10251,4,13,./serialized_data/10251_4.json
377,1,4.0,./serialized_data/377_1.json
377,2,6.6,./serialized_data/377_2.json
377,3,9.0,./serialized_data/377_3.json
377,4,11.4,./serialized_data/377_4.json
11419,1,3.0,./serialized_data/11419_1.json
11419,2,6.5,./serialized_data/11419_2.json
11419,3,12.0,./serialized_data/11419_3.json
11419,4,13.9,./serialized_data/11419_4.json
149,1,5.0,./serialized_data/149_1.json
149,2,7.4,./serialized_data/149_2.json
149,3,9.0,./serialized_data/149_3.json
149,4,10.3,./serialized_data/149_4.json
364,1,6.0,./serialized_data/364_1.json
364,2,8.1,./serialized_data/364_2.json
364,3,11.9,./serialized_data/364_3.json
364,4,13.8,./serialized_data/364_4.json
364,5,13.5,./serialized_data/364_5.json
11471,1,5.0,./serialized_data/11471_1.json
11471,2,8.8,./serialized_data/11471_2.json
11471,3,12.8,./serialized_data/11471_3.json
11471,4,14.2,./serialized_data/11471_4.json
111714,1,13.7?,./serialized_data/111714_1.json
111714,2,13.7?,./serialized_data/111714_2.json
583,1,3.0,./serialized_data/583_1.json
583,2,7.8,./serialized_data/583_2.json
583,3,11.6,./serialized_data/583_3.json
583,4,12.7,./serialized_data/583_4.json
10475,1,4.0,./serialized_data/10475_1.json
10475,2,6.7,./serialized_data/10475_2.json
10475,3,9.0,./serialized_data/10475_3.json
10475,4,12.3,./serialized_data/10475_4.json
11089,1,6.0,./serialized_data/11089_1.json
11089,2,8.8,./serialized_data/11089_2.json
11089,3,13.0,./serialized_data/11089_3.json
11089,4,14.3,./serialized_data/11089_4.json
11622,1,2.0,./serialized_data/11622_1.json
11622,2,6.2,./serialized_data/11622_2.json
11622,3,9.2,./serialized_data/11622_3.json
11622,4,13.2,./serialized_data/11622_4.json
834,1,7.7,./serialized_data/834_1.json
834,2,11.5,./serialized_data/834_2.json
834,3,13.9,./serialized_data/834_3.json
834,4,14.9,./serialized_data/834_4.json
834,5,15.0,./serialized_data/834_5.json
11771,1,6.0,./serialized_data/11771_1.json
11771,2,8.5,./serialized_data/11771_2.json
11771,3,12.5,./serialized_data/11771_3.json
11771,4,14.2,./serialized_data/11771_4.json
11585,1,3.0,./serialized_data/11585_1.json
11585,2,6.5,./serialized_data/11585_2.json
11585,3,10.8,./serialized_data/11585_3.json
11585,4,13.5,./serialized_data/11585_4.json
11477,1,4.0,./serialized_data/11477_1.json
11477,2,7.7,./serialized_data/11477_2.json
11477,3,10.0,./serialized_data/11477_3.json
11477,4,13.3,./serialized_data/11477_4.json
448,1,5.0,./serialized_data/448_1.json
448,2,7.6,./serialized_data/448_2.json
448,3,9.9,./serialized_data/448_3.json
448,4,13.6,./serialized_data/448_4.json
446,1,7.0,./serialized_data/446_1.json
446,2,7.8,./serialized_data/446_2.json
446,3,11.9,./serialized_data/446_3.json
446,4,13.9,./serialized_data/446_4.json
11718,1,2.0,./serialized_data/11718_1.json
11718,2,6.2,./serialized_data/11718_2.json
11718,3,9.8,./serialized_data/11718_3.json
11718,4,13.3,./serialized_data/11718_4.json
11353,1,2.0,./serialized_data/11353_1.json
11353,2,7.2,./serialized_data/11353_2.json
11353,3,9.8,./serialized_data/11353_3.json
11353,4,12.8,./serialized_data/11353_4.json
11004,1,5.0,./serialized_data/11004_1.json
11004,2,7.8,./serialized_data/11004_2.json
11004,3,11.4,./serialized_data/11004_3.json
11004,4,13.8,./serialized_data/11004_4.json
11004,5,14.2,./serialized_data/11004_5.json
11469,1,5.0,./serialized_data/11469_1.json
11469,2,8.7,./serialized_data/11469_2.json
11469,3,12.7,./serialized_data/11469_3.json
11469,4,14.3,./serialized_data/11469_4.json
11580,1,4.0,./serialized_data/11580_1.json
11580,2,7.5,./serialized_data/11580_2.json
11580,3,9.8,./serialized_data/11580_3.json
11580,4,12.8,./serialized_data/11580_4.json
11460,1,4.0,./serialized_data/11460_1.json
11460,2,6.8,./serialized_data/11460_2.json
11460,3,10.9,./serialized_data/11460_3.json
11460,4,13.8,./serialized_data/11460_4.json
409,1,5.0,./serialized_data/409_1.json
